degradation,h1,sea_state,direction,start,draw,V,V_proposal,N_H
0.5,0.5,2,nominal,0,0,0.82,0.81,3
0.5,0.5,2,nominal,0,1,0.83,0.73,3
0.5,0.5,2,nominal,0,2,0.87,0.77,3
0.5,0.5,2,nominal,0,3,0.84,0.76,3
0.5,0.5,2,nominal,0,4,0.77,0.78,3
0.5,0.5,2,nominal,0,5,0.8,0.78,3
0.5,0.5,2,nominal,0,6,0.83,0.81,3
0.5,0.5,2,nominal,0,7,0.82,0.71,3
0.5,0.5,2,nominal,0,8,0.78,0.86,3
0.5,0.5,2,nominal,0,9,0.87,0.74,3
0.5,0.5,3,nominal,0,0,0.8,0.73,3
0.5,0.5,3,nominal,0,1,0.79,0.77,3
0.5,0.5,3,nominal,0,2,0.81,0.71,3
0.5,0.5,3,nominal,0,3,0.84,0.8,3
0.5,0.5,3,nominal,0,4,0.8,0.72,3
0.5,0.5,3,nominal,0,5,0.84,0.74,3
0.5,0.5,3,nominal,0,6,0.87,0.79,3
0.5,0.5,3,nominal,0,7,0.83,0.8,3
0.5,0.5,3,nominal,0,8,0.75,0.79,3
0.5,0.5,3,nominal,0,9,0.79,0.84,3
0.5,0.5,4,nominal,0,0,0.82,0.78,3
0.5,0.5,4,nominal,0,1,0.83,0.75,3
0.5,0.5,4,nominal,0,2,0.85,0.82,3
0.5,0.5,4,nominal,0,3,0.84,0.72,3
0.5,0.5,4,nominal,0,4,0.81,0.72,3
0.5,0.5,4,nominal,0,5,0.88,0.74,3
0.5,0.5,4,nominal,0,6,0.82,0.8,3
0.5,0.5,4,nominal,0,7,0.85,0.75,3
0.5,0.5,4,nominal,0,8,0.79,0.75,3
0.5,0.5,4,nominal,0,9,0.76,0.74,3
0.5,0.5,5,nominal,0,0,0.83,0.8,3
0.5,0.5,5,nominal,0,1,0.88,0.73,3
0.5,0.5,5,nominal,0,2,0.78,0.79,3
0.5,0.5,5,nominal,0,3,0.8,0.74,3
0.5,0.5,5,nominal,0,4,0.79,0.68,3
0.5,0.5,5,nominal,0,5,0.83,0.79,3
0.5,0.5,5,nominal,0,6,0.82,0.76,3
0.5,0.5,5,nominal,0,7,0.85,0.74,3
0.5,0.5,5,nominal,0,8,0.81,0.7,3
0.5,0.5,5,nominal,0,9,0.79,0.8,3
0.6,0.4,2,nominal,0,0,0.81,0.77,3
0.6,0.4,2,nominal,0,1,0.87,0.76,3
0.6,0.4,2,nominal,0,2,0.83,0.78,3
0.6,0.4,2,nominal,0,3,0.81,0.7,3
0.6,0.4,2,nominal,0,4,0.79,0.75,3
0.6,0.4,2,nominal,0,5,0.81,0.84,3
0.6,0.4,2,nominal,0,6,0.81,0.8,3
0.6,0.4,2,nominal,0,7,0.84,0.81,3
0.6,0.4,2,nominal,0,8,0.83,0.78,3
0.6,0.4,2,nominal,0,9,0.79,0.72,3
0.6,0.4,3,nominal,0,0,0.8,0.77,3
0.6,0.4,3,nominal,0,1,0.89,0.74,3
0.6,0.4,3,nominal,0,2,0.88,0.79,3
0.6,0.4,3,nominal,0,3,0.84,0.74,3
0.6,0.4,3,nominal,0,4,0.87,0.83,3
0.6,0.4,3,nominal,0,5,0.84,0.8,3
0.6,0.4,3,nominal,0,6,0.8,0.75,3
0.6,0.4,3,nominal,0,7,0.8,0.75,3
0.6,0.4,3,nominal,0,8,0.83,0.72,3
0.6,0.4,3,nominal,0,9,0.85,0.77,3
0.6,0.4,4,nominal,0,0,0.85,0.71,3
0.6,0.4,4,nominal,0,1,0.88,0.69,3
0.6,0.4,4,nominal,0,2,0.88,0.72,3
0.6,0.4,4,nominal,0,3,0.87,0.69,3
0.6,0.4,4,nominal,0,4,0.83,0.72,3
0.6,0.4,4,nominal,0,5,0.86,0.77,3
0.6,0.4,4,nominal,0,6,0.79,0.74,3
0.6,0.4,4,nominal,0,7,0.85,0.73,3
0.6,0.4,4,nominal,0,8,0.78,0.79,3
0.6,0.4,4,nominal,0,9,0.84,0.73,3
0.6,0.4,5,nominal,0,0,0.82,0.72,3
0.6,0.4,5,nominal,0,1,0.84,0.72,3
0.6,0.4,5,nominal,0,2,0.9,0.79,3
0.6,0.4,5,nominal,0,3,0.82,0.8,3
0.6,0.4,5,nominal,0,4,0.87,0.72,3
0.6,0.4,5,nominal,0,5,0.92,0.7,3
0.6,0.4,5,nominal,0,6,0.85,0.78,3
0.6,0.4,5,nominal,0,7,0.84,0.79,3
0.6,0.4,5,nominal,0,8,0.87,0.79,3
0.6,0.4,5,nominal,0,9,0.86,0.78,3
0.7,0.30000000000000004,2,nominal,0,0,0.87,0.66,3
0.7,0.30000000000000004,2,nominal,0,1,0.85,0.77,3
0.7,0.30000000000000004,2,nominal,0,2,0.83,0.69,3
0.7,0.30000000000000004,2,nominal,0,3,0.91,0.8,3
0.7,0.30000000000000004,2,nominal,0,4,0.87,0.78,3
0.7,0.30000000000000004,2,nominal,0,5,0.88,0.78,3
0.7,0.30000000000000004,2,nominal,0,6,0.84,0.76,3
0.7,0.30000000000000004,2,nominal,0,7,0.84,0.81,3
0.7,0.30000000000000004,2,nominal,0,8,0.83,0.78,3
0.7,0.30000000000000004,2,nominal,0,9,0.87,0.67,3
0.7,0.30000000000000004,3,nominal,0,0,0.86,0.81,3
0.7,0.30000000000000004,3,nominal,0,1,0.88,0.75,3
0.7,0.30000000000000004,3,nominal,0,2,0.88,0.72,3
0.7,0.30000000000000004,3,nominal,0,3,0.88,0.75,3
0.7,0.30000000000000004,3,nominal,0,4,0.86,0.73,3
0.7,0.30000000000000004,3,nominal,0,5,0.92,0.76,3
0.7,0.30000000000000004,3,nominal,0,6,0.83,0.72,3
0.7,0.30000000000000004,3,nominal,0,7,0.81,0.79,3
0.7,0.30000000000000004,3,nominal,0,8,0.77,0.83,3
0.7,0.30000000000000004,3,nominal,0,9,0.85,0.74,3
0.7,0.30000000000000004,4,nominal,0,0,0.79,0.8,3
0.7,0.30000000000000004,4,nominal,0,1,0.84,0.8,3
0.7,0.30000000000000004,4,nominal,0,2,0.87,0.76,3
0.7,0.30000000000000004,4,nominal,0,3,0.82,0.69,3
0.7,0.30000000000000004,4,nominal,0,4,0.87,0.77,3
0.7,0.30000000000000004,4,nominal,0,5,0.89,0.73,3
0.7,0.30000000000000004,4,nominal,0,6,0.8,0.79,3
0.7,0.30000000000000004,4,nominal,0,7,0.84,0.75,3
0.7,0.30000000000000004,4,nominal,0,8,0.83,0.69,3
0.7,0.30000000000000004,4,nominal,0,9,0.88,0.75,3
0.7,0.30000000000000004,5,nominal,0,0,0.85,0.86,3
0.7,0.30000000000000004,5,nominal,0,1,0.82,0.71,3
0.7,0.30000000000000004,5,nominal,0,2,0.83,0.78,3
0.7,0.30000000000000004,5,nominal,0,3,0.87,0.75,3
0.7,0.30000000000000004,5,nominal,0,4,0.8,0.78,3
0.7,0.30000000000000004,5,nominal,0,5,0.83,0.78,3
0.7,0.30000000000000004,5,nominal,0,6,0.86,0.77,3
0.7,0.30000000000000004,5,nominal,0,7,0.85,0.75,3
0.7,0.30000000000000004,5,nominal,0,8,0.83,0.82,3
0.7,0.30000000000000004,5,nominal,0,9,0.84,0.73,3
0.8,0.19999999999999996,2,nominal,0,0,0.91,0.78,3
0.8,0.19999999999999996,2,nominal,0,1,0.93,0.77,3
0.8,0.19999999999999996,2,nominal,0,2,0.95,0.8,3
0.8,0.19999999999999996,2,nominal,0,3,0.91,0.77,3
0.8,0.19999999999999996,2,nominal,0,4,0.91,0.79,3
0.8,0.19999999999999996,2,nominal,0,5,0.96,0.81,3
0.8,0.19999999999999996,2,nominal,0,6,0.91,0.81,3
0.8,0.19999999999999996,2,nominal,0,7,0.93,0.79,3
0.8,0.19999999999999996,2,nominal,0,8,0.9,0.75,3
0.8,0.19999999999999996,2,nominal,0,9,0.91,0.73,3
0.8,0.19999999999999996,3,nominal,0,0,0.91,0.7,3
